date,description,amount,category
2025-11-04,Exxon Gas Station,-53.0,Variable Costs
2025-11-06,Target,-34.0,Variable Costs
2025-11-07,Internet - Comcast,-70.0,Fixed Costs
2025-11-09,Phone Bill - Verizon,-85.0,Fixed Costs
2025-11-10,Spotify,-10.99,Fixed Costs
2025-11-11,Pizza Delivery,-16.0,Variable Costs
2025-11-12,Trader Joes,-36.0,Variable Costs
2025-11-12,Amazon Prime,-14.99,Fixed Costs
2025-11-12,Direct Deposit - Salary,1600.0,Income
2025-11-14,Exxon Gas Station,-63.0,Variable Costs
2025-11-15,Payday Loan Fee,-35.0,Fixed Costs
2025-11-16,Netflix,-15.99,Fixed Costs
2025-11-19,Restaurant,-40.0,Variable Costs
2025-11-20,Target,-86.0,Variable Costs
2025-11-21,Walmart,-72.0,Variable Costs
2025-11-22,Chipotle,-60.0,Variable Costs
2025-11-28,Direct Deposit - Salary,1600.0,Income
2025-11-28,Rent Payment,-1600.0,Fixed Costs
2025-11-30,Trader Joes,-49.0,Variable Costs
2025-11-30,Credit Card Payment,-350.0,Debt Payment
2025-12-01,Amazon Prime,-14.99,Fixed Costs
2025-12-02,Electric Company,-101.0,Fixed Costs
2025-12-02,Amazon,-59.0,Variable Costs
2025-12-03,Door Dash,-60.0,Variable Costs
2025-12-03,Netflix,-15.99,Fixed Costs
2025-12-04,Whole Foods,-65.0,Variable Costs
2025-12-05,Exxon Gas Station,-43.0,Variable Costs
2025-12-07,Internet - Comcast,-70.0,Fixed Costs
2025-12-09,Phone Bill - Verizon,-85.0,Fixed Costs
2025-12-11,Doctor Copay,-100.0,Healthcare
2025-12-11,Payday Loan Fee,-35.0,Fixed Costs
2025-12-12,Direct Deposit - Salary,1600.0,Income
2025-12-13,Restaurant,-17.0,Variable Costs
2025-12-14,Safeway,-52.0,Variable Costs
2025-12-15,Exxon Gas Station,-62.0,Variable Costs
2025-12-18,Door Dash,-20.0,Variable Costs
2025-12-19,Safeway,-45.0,Variable Costs
2025-12-22,Spotify,-10.99,Fixed Costs
2025-12-23,Door Dash,-49.0,Variable Costs
2025-12-28,Direct Deposit - Salary,1600.0,Income
2025-12-28,Rent Payment,-1600.0,Fixed Costs
2025-12-30,Target,-39.0,Variable Costs
2025-12-30,Credit Card Payment,-350.0,Debt Payment
2025-12-31,Uber Eats,-35.0,Variable Costs
2026-01-01,Electric Company,-86.0,Fixed Costs
2026-01-01,Local Bar,-57.0,Variable Costs
2026-01-02,Chipotle,-43.0,Variable Costs
2026-01-04,Walmart,-49.0,Variable Costs
2026-01-04,Target,-96.0,Variable Costs
2026-01-06,Internet - Comcast,-70.0,Fixed Costs
2026-01-08,Phone Bill - Verizon,-85.0,Fixed Costs
2026-01-09,Uber Eats,-39.0,Variable Costs
2026-01-09,BP Gas Station,-68.0,Variable Costs
2026-01-11,Amazon Prime,-14.99,Fixed Costs
2026-01-11,Direct Deposit - Salary,1600.0,Income
2026-01-12,Walmart,-34.0,Variable Costs
2026-01-17,Shell Gas Station,-53.0,Variable Costs
2026-01-18,Target,-29.0,Variable Costs
2026-01-21,BP Gas Station,-49.0,Variable Costs
2026-01-22,Netflix,-15.99,Fixed Costs
2026-01-23,Spotify,-10.99,Fixed Costs
2026-01-23,Exxon Gas Station,-55.0,Variable Costs
2026-01-23,Payday Loan Fee,-35.0,Fixed Costs
